timestamp(ms),ECG_comp,Detected_R_wave,Pace,ECG_amp,
"1742503229.81",,"0",,,
"1742503229.811",,,"0",,
"1742503229.812",,,,"2.45",
"1742503229.813","0",,,,
"1742503229.815",,"0",,,
"1742503229.816",,,"0",,
"1742503229.817",,,,"2.46",
"1742503229.819","0",,,,
"1742503229.82",,"0",,,
"1742503229.821",,,"0",,
"1742503229.823",,,,"2.46",
"1742503229.824","0",,,,
"1742503229.826",,"0","0",,
"1742503229.828",,,,"2.46",
"1742503229.829","0",,,,
"1742503229.831",,"0",,,
"1742503229.832",,,"0",,
"1742503229.833",,,,"2.46",
"1742503229.834","0",,,,
"1742503229.836",,"0",,,
"1742503229.837",,,"0",,
"1742503229.838",,,,"2.45",
"1742503229.839","0",,,,
"1742503229.841",,"0",,,
"1742503229.842",,,"0",,
"1742503229.843",,,,"2.43",
"1742503229.845","0",,,,
"1742503229.846",,"0",,,
"1742503229.847",,,"0",,
"1742503229.848",,,,"2.4",
"1742503229.85","0",,,,
"1742503229.852",,"0","0",,
"1742503229.854",,,,"2.38",
"1742503229.855","0",,,,
"1742503229.857",,"0",,,
"1742503229.858",,,"0",,
"1742503229.86","0",,,"2.34",
"1742503229.862",,"0",,,
"1742503229.863",,,"0",,
"1742503229.864",,,,"2.31",
"1742503229.865","0",,,,
"1742503229.867",,"0",,,
"1742503229.868",,,"0",,
"1742503229.869",,,,"2.28",
"1742503229.871","0",,,,
"1742503229.872",,"0",,,
"1742503229.873",,,"0",,
"1742503229.874",,,,"2.25",
"1742503229.876","0",,,,
"1742503229.878",,"0","0",,
"1742503229.88",,,,"2.23",
"1742503229.881","0",,,,
"1742503229.883",,"0",,,
"1742503229.884",,,"0",,
"1742503229.885",,,,"2.19",
"1742503229.886","0",,,,
"1742503229.888",,"0",,,
"1742503229.889",,,"0",,
"1742503229.89",,,,"2.17",
"1742503229.891","0",,,,
"1742503229.893",,"0",,,
"1742503229.894",,,"0",,
"1742503229.895",,,,"2.15",
"1742503229.897","0",,,,
"1742503229.898",,"0",,,
"1742503229.899",,,"0",,
"1742503229.9",,,,"2.14",
"1742503229.902","0",,,,
"1742503229.903",,"0",,,
"1742503229.904",,,"0",,
"1742503229.906",,,,"2.12",
"1742503229.907","0",,,,
"1742503229.909",,"0","0",,
"1742503229.911",,,,"2.11",
"1742503229.915","0","0","0",,
"1742503229.916",,,,"2.11",
"1742503229.917","0",,,,
"1742503229.919",,"0",,,
"1742503229.92",,,"0",,
"1742503229.921",,,,"2.09",
"1742503229.923","0",,,,
"1742503229.924",,"0",,,
"1742503229.925",,,"0",,
"1742503229.926",,,,"2.08",
"1742503229.928","0",,,,
"1742503229.929",,"0",,,
"1742503229.93",,,"0",,
"1742503229.931",,,,"2.08",
"1742503229.933","0",,,,
"1742503229.935",,"0",,,
"1742503229.936",,,"0",,
"1742503229.937",,,,"2.08",
"1742503229.938","0",,,,
"1742503229.94",,"0",,,
"1742503229.941",,,"0",,
"1742503229.942",,,,"2.08",
"1742503229.943","0",,,,
"1742503229.945",,"0",,,
"1742503229.946",,,"0",,
"1742503229.947",,,,"2.08",
"1742503229.948","0",,,,
"1742503229.95",,"0",,,
"1742503229.951",,,"0",,
"1742503229.952",,,,"2.09",
"1742503229.954","0",,,,
"1742503229.955",,"0",,,
"1742503229.956",,,"0",,
"1742503229.957",,,,"2.09",
"1742503229.959","0",,,,
"1742503229.961",,"0","0",,
"1742503229.963",,,,"2.09",
"1742503229.964","0",,,,
"1742503229.966",,"0","0",,
"1742503229.968",,,,"2.09",
"1742503229.969","0",,,,
"1742503229.971",,"0",,,
"1742503229.972",,,"0",,
"1742503229.973",,,,"2.09",
"1742503229.975","0",,,,
"1742503229.976",,"0",,,
"1742503229.977",,,"0",,
"1742503229.978",,,,"2.1",
"1742503229.979","0",,,,
"1742503229.981",,"0",,,
"1742503229.982",,,"0",,
"1742503229.983",,,,"2.1",
"1742503229.985","0",,,,
"1742503229.986",,"0",,,
"1742503229.987",,,"0",,
"1742503229.989",,,,"2.1",
"1742503229.99","0",,,,
"1742503229.992",,"0","0",,
"1742503229.994",,,,"2.1",
"1742503229.995","0",,,,
"1742503229.997",,"0",,,
"1742503229.998",,,"0",,
"1742503229.999",,,,"2.11",
"1742503230","0",,,,
"1742503230.002",,"0",,,
"1742503230.003",,,"0",,
"1742503230.004",,,,"2.11",
"1742503230.006","0",,,,
"1742503230.007",,"0",,,
"1742503230.008",,,"0",,
"1742503230.009",,,,"2.11",
"1742503230.011","0",,,,
"1742503230.012",,"0",,,
"1742503230.013",,,"0",,
"1742503230.014",,,,"2.12",
"1742503230.016","0",,,,
"1742503230.018",,"0","0",,
"1742503230.02",,,,"2.12",
"1742503230.021","0",,,,
"1742503230.023",,"0",,,
"1742503230.024",,,"0",,
"1742503230.025",,,,"2.13",
"1742503230.026","0",,,,
"1742503230.028",,"0",,,
"1742503230.029",,,"0",,
"1742503230.03",,,,"2.13",
"1742503230.032","0",,,,
"1742503230.033",,"0",,,
"1742503230.034",,,"0",,
"1742503230.035",,,,"2.13",
"1742503230.037","0",,,,
"1742503230.038",,"0",,,
"1742503230.039",,,"0",,
"1742503230.04",,,,"2.14",
"1742503230.042","0",,,,
"1742503230.044",,"0","0",,
"1742503230.046",,,,"2.15",
"1742503230.047","0",,,,
"1742503230.049",,"0",,,
"1742503230.05",,,"0",,
"1742503230.051",,,,"2.15",
"1742503230.052","0",,,,
"1742503230.054",,"0",,,
"1742503230.055",,,"0",,
"1742503230.056",,,,"2.14",
"1742503230.058","0",,,,
"1742503230.059",,"0",,,
"1742503230.06",,,"0",,
"1742503230.061",,,,"2.15",
"1742503230.063","0",,,,
"1742503230.064",,"0",,,
"1742503230.065",,,"0",,
"1742503230.066",,,,"2.16",
"1742503230.068","0",,,,
"1742503230.07",,"0","0",,
"1742503230.072",,,,"2.15",
"1742503230.073","0",,,,
"1742503230.075",,"0","0",,
"1742503230.077",,,,"2.16",
"1742503230.078","0",,,,
"1742503230.08",,"0",,,
"1742503230.081",,,"0",,
"1742503230.082",,,,"2.16",
"1742503230.083","0",,,,
"1742503230.085",,"0",,,
"1742503230.086",,,"0",,
"1742503230.087",,,,"2.16",
"1742503230.089","0",,,,
"1742503230.09",,"0",,,
"1742503230.091",,,"0",,
"1742503230.092",,,,"2.15",
"1742503230.094","0",,,,
"1742503230.096",,"0","0",,
"1742503230.098",,,,"2.16",
"1742503230.099","0",,,,
"1742503230.101",,"0","0",,
"1742503230.103",,,,"2.16",
"1742503230.104","0",,,,
"1742503230.106",,"0",,,
"1742503230.107",,,"0",,
"1742503230.108",,,,"2.16",
"1742503230.109","0",,,,
"1742503230.111",,"0",,,
"1742503230.112",,,"0",,
"1742503230.113",,,,"2.17",
"1742503230.115","0",,,,
"1742503230.116",,"0",,,
"1742503230.117",,,"0",,
"1742503230.118",,,,"2.17",
"1742503230.12","0",,,,
"1742503230.121",,"0",,,
"1742503230.122",,,"0",,
"1742503230.124",,,,"2.16",
"1742503230.125","0",,,,
"1742503230.127",,"0","0",,
"1742503230.129",,,,"2.17",
"1742503230.13","0",,,,
"1742503230.132",,"0",,,
"1742503230.133",,,"0",,
"1742503230.134",,,,"2.17",
"1742503230.135","0",,,,
"1742503230.137",,"0",,,
"1742503230.138",,,"0",,
"1742503230.139",,,,"2.17",
"1742503230.141","0",,,,
"1742503230.142",,"0",,,
"1742503230.143",,,"0",,
"1742503230.144",,,,"2.17",
"1742503230.146","0",,,,
"1742503230.147",,"0",,,
"1742503230.148",,,"0",,
"1742503230.149",,,,"2.18",
"1742503230.151","0",,,,
"1742503230.153",,"0","0",,
"1742503230.155",,,,"2.17",
"1742503230.156","0",,,,
"1742503230.158",,"0",,,
